aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20100119026019I,19-JAN-10,VALENTINE,NE,MILLER FIELD,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,CESSNA,CE-402,CE-402-B,BUSINESS AVIATION COURIER INC,NULL,AIR TAXI/COMMUTER,NULL,3796C,0,0,CONT M,TSIO-520 SER ,EB    ,2,NULL,0,0,NULL,NULL
20100119026219I,19-JAN-10,OKEECHOBEE,FL,NULL,INCIDENT,NONE,LANDING: APPROACH,CESSNA,CE-150,CE-150-F,NULL,NULL,GENERAL OPERATING RULES,NULL,7160F,0,0,CONT M,0-200 SERIES ,0-200 ,1,STUDENT,79,19,NULL,NULL
20100119027069I,19-JAN-10,CHARLESTON,WV,YEAGER,INCIDENT,MINOR,TAKEOFF: DEPARTURE,CANADAIR-BOMBARDIER,CHALLENGER,600,PSA AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,246PS,0,0,GE    ,CF34 SERIES  ,3B1   ,NULL,AIRLINE TRANSPORT,8975,7925,NULL,NULL
20100119029259I,19-JAN-10,CLEVELAND,OH,CLEVELAND-HOPKINS INTL,INCIDENT,MINOR,LANDING: APPROACH,CANADAIR-BOMBARDIER,CHALLENGER,600,CHAUTAUQUA AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,667BR,0,0,GE    ,CF34 SERIES  ,NULL,NULL,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,5000,2000,NULL,NULL
20100120025999I,20-JAN-10,PEORIA,IL,GENERAL DOWNING - PEORIA INTL,INCIDENT,NONE,GROUND-RAMP,CANADAIR-BOMBARDIER,CHALLENGER,600,SKYWEST AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,988CA,0,0,GE    ,CF34 SERIES  ,NULL,NULL,AIRLINE TRANSPORT,0,0,NULL,NULL
20100120026229I,20-JAN-10,LAKE ELMO,MN,LAKE ELMO,INCIDENT,MINOR,TAKEOFF: ROTATION,LANCAIR,LC-42,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,646MB,0,0,CONT M,IO-550-N     ,NULL,NULL,COMMERCIAL PILOT,1748,56,NULL,NULL
20100120026529I,20-JAN-10,ENGLEWOOD,CO,CENTENNIAL,INCIDENT,MINOR,GROUND-RAMP,PIPER,PA-46,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,891CR,0,0,NULL,NULL,NULL,NULL,COMMERCIAL PILOT,2790,650,NULL,NULL
20100120026689I,20-JAN-10,CHARLOTTE,MI,FITCH H BEACH,INCIDENT,MINOR,TAXI,PIPER,PA-J4,PA-J4-A,NULL,NULL,GENERAL OPERATING RULES,NULL,30348,0,0,CONT M,C85 SERIES   ,NULL,1,PRIVATE PILOT,469,255,NULL,NULL
20100120028369I,20-JAN-10,AKRON,OH,AKRON-CANTON RGNL,INCIDENT,NONE,MANEUVER,CESSNA,CE-182,CE-182-R,NULL,NULL,GENERAL OPERATING RULES,NULL,38180,0,0,CONT M,O-470 SERIES ,NULL,1,PRIVATE PILOT,197,17,NULL,NULL
20100121026109I,21-JAN-10,TETERBORO,NJ,TETERBORO,INCIDENT,MINOR,LANDING: ROLLOUT,ISRAEL AIRCRAFT INDUSTRIES,GULFSTREAM G200,NULL,FLIGHTWORKS INC,NULL,GENERAL OPERATING RULES,NULL,90FT ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,0,20,NULL,NULL
